c_nace|d_pocpl|d_ukopl|naz_nace|
10000|1992-01-01|2025-12-31|ROSTLINNÁ A ŽIVOČIŠNÁ VÝROBA, MYSLIVOST A SOUVISEJÍCÍ ČINNOSTI|
11300|1992-01-01|2025-12-31|PĚSTOVÁNÍ ZELENINY A MELOUNŮ, KOŘENŮ A HLÍZ|
11900|1992-01-01|2025-12-31|PĚSTOVÁNÍ OSTATNÍCH PLODIN JINÝCH NEŽ TRVALÝCH|
12300|1992-01-01|2025-12-31|PĚSTOVÁNÍ CITRUSOVÝCH PLODŮ|
12700|1992-01-01|2025-12-31|PĚSTOVÁNÍ ROSTLIN PRO VÝROBU NÁPOJŮ|
14000|1992-01-01|2025-12-31|ŽIVOČIŠNÁ VÝROBA|
14400|1992-01-01|2025-12-31|CHOV VELBLOUDŮ A VELBLOUDOVITÝCH|
14800|2026-01-01||CHOV OSTATNÍCH ZVÍŘAT|
16000|1992-01-01|2025-12-31|PODPŮRNÉ ČINNOSTI PRO ZEMĚDĚLSTVÍ A POSKLIZŇOVÉ ČINNOSTI|
16400|1992-01-01|2025-12-31|ZPRACOVÁNÍ OSIVA PRO ÚČELY MNOŽENÍ|
22000|2026-01-01||TĚŽBA DŘEVA|
31000|2026-01-01||RYBOLOV|
32100|2026-01-01||MOŘSKÁ AKVAKULTURA|
51010|1992-01-01|2025-12-31|TĚŽBA ČERNÉHO UHLÍ|
52020|1992-01-01|2025-12-31|ÚPRAVA HNĚDÉHO UHLÍ, KROMĚ LIGNITU|
61000|1992-01-01|2025-12-31|TĚŽBA ROPY|
71010|1992-01-01|2025-12-31|TĚŽBA ŽELEZNÝCH RUD|
72110|1992-01-01|2025-12-31|TĚŽBA URANOVÝCH A THORIOVÝCH RUD|
72920|1992-01-01|2025-12-31|ÚPRAVA OSTATNÍCH NEŽELEZNÝCH RUD|
81200|1992-01-01|2025-12-31|PROVOZ PÍSKOVEN A ŠTĚRKOPÍSKOVEN; TĚŽBA JÍLŮ A KAOLINU|
89300|1992-01-01|2025-12-31|TĚŽBA SOLI|
99000|1992-01-01|2025-12-31|PODPŮRNÉ ČINNOSTI PŘI OSTATNÍ TĚŽBĚ A DOBÝVÁNÍ|
99090|2026-01-01||PODPŮRNÉ ČINNOSTI PRO TĚŽBU A DOBÝVÁNÍ OSTATNÍCH NEROSTNÝCH SUROVIN J. N.|
101200|2026-01-01||ZPRACOVÁNÍ A KONZERVOVÁNÍ DRŮBEŽÍHO MASA|
103100|2026-01-01||ZPRACOVÁNÍ A KONZERVOVÁNÍ BRAMBOR|
104100|2026-01-01||VÝROBA OLEJŮ A TUKŮ|
105200|2026-01-01||VÝROBA ZMRZLINY A LEDU K LIDSKÉ SPOTŘEBĚ|
107000|2026-01-01||VÝROBA PEKAŘSKÝCH, CUKRÁŘSKÝCH A JINÝCH MOUČNÝCH VÝROBKŮ|
108000|2026-01-01||VÝROBA OSTATNÍCH POTRAVINÁŘSKÝCH VÝROBKŮ|
108400|2026-01-01||VÝROBA KOŘENÍ A PŘÍSAD PRO OCHUCENÍ|
109000|2026-01-01||VÝROBA KRMIV|
110100|2026-01-01||DESTILACE, REKTIFIKACE A MÍCHANÍ LIHOVIN|
110500|2026-01-01||VÝROBA PIVA|
